1, APPAREL, PANTS & SHORTS, 711.0, 106.64999999999999, 9, 2023, 2, 14.22, LATIN AMERICA, 2023-02
2, CLIMBING, ROPES & SLINGS, 972.0, 106.92, 12, 2024, 7, 29.16, CHINA, 2024-07
3, TRAVEL, CARRY-ONS, 2576.0, 437.92, 14, 2024, 5, 283.36, LATIN AMERICA, 2024-05
4, TRAVEL, OTHER, 116.0, 16.240000000000002, 4, 2024, 10, 1.16, EUROPE, 2024-10
5, CLIMBING, AVALANCHE SAFETY, 2652.0, 265.2, 13, 2022, 1, 106.08, AFRICA, 2022-01
6, FISHING GEAR, FISHING LINE, 444.0, 57.72, 12, 2022, 1, 62.160000000000004, NORTH AMERICA, 2022-01
7, WINTER SPORTS, SKIS, 2736.0, 437.76, 3, 2023, 7, 27.36, NORTH AMERICA, 2023-07
8, WATER GEAR, SAFETY GEAR, 1157.0, 185.12, 13, 2023, 8, 138.84, NORTH AMERICA, 2023-08
9, CLIMBING, HELMETS, 0.0, 0.0, 0, 2022, 12, 0, NORTH AMERICA, 2022-12
10, FOOTWEAR, HIKING BOOTS, 434.0, 52.08, 2, 2022, 5, 52.08, MIDDLE EAST, 2022-05
11, FISHING GEAR, FISHING HOOKS, 432.0, 43.2, 18, 2023, 1, 0, NORTH AMERICA, 2023-01
12, FOOTWEAR, FOOTWEAR CARE PRODUCTS, 168.0, 25.2, 7, 2022, 3, 25.2, NORTH AMERICA, 2022-03
13, WINTER SPORTS, POLES, 252.0, 30.24, 12, 2023, 10, 5.04, CHINA, 2023-10
14, APPAREL, FOOTWEAR ACCESSORIES, 54.0, 8.1, 2, 2023, 11, 5.4, EUROPE, 2023-11
15, WINTER SPORTS, ACCESSORIES, 1343.0, 214.88, 17, 2022, 6, 107.44, ASIA-PACIFIC, 2022-06
16, FISHING GEAR, WADERS, 3434.0, 618.12, 17, 2024, 1, 240.38000000000002, ASIA-PACIFIC, 2024-01
17, APPAREL, SHIRTS, 700.0, 133.0, 10, 2023, 9, 7, NORTH AMERICA, 2023-09
18, CLIMBING, BOULDERING PADS, 3078.0, 615.6, 9, 2022, 10, 153.9, LATIN AMERICA, 2022-10
19, APPAREL, OUTERWEAR, 1560.0, 218.40000000000003, 10, 2024, 2, 218.40000000000003, NORTH AMERICA, 2024-02
20, WINTER SPORTS, ACCESSORIES, 132.0, 21.12, 4, 2024, 9, 15.84, NORTH AMERICA, 2024-09
21, WINTER SPORTS, SKI POLES, 2489.0, 497.8, 19, 2022, 3, 224.01, ASIA-PACIFIC, 2022-03
22, WATER GEAR, SURFBOARDS, 1290.0, 232.2, 2, 2022, 4, 51.6, AFRICA, 2022-04
23, TRAVEL, OTHER, 555.0, 66.6, 15, 2024, 8, 66.6, NORTH AMERICA, 2024-08
24, WINTER SPORTS, ACCESSORIES, 420.0, 63.0, 12, 2023, 1, 33.6, CHINA, 2023-01
25, FOOTWEAR, WINTER BOOTS, 0.0, 0.0, 0, 2022, 1, 0, AFRICA, 2022-01
26, CAMPING & HIKING, COOKWARE, 715.0, 71.5, 11, 2023, 5, 50.050000000000004, MIDDLE EAST, 2023-05
27, TRAVEL, LUGGAGE LOCKS, 36.0, 5.76, 3, 2024, 12, 0.72, NORTH AMERICA, 2024-12
28, FOOTWEAR, FOOTWEAR CARE PRODUCTS, 169.0, 28.73, 13, 2022, 2, 0, NORTH AMERICA, 2022-02
29, APPAREL, OTHER, 61.0, 8.540000000000001, 1, 2023, 4, 2.44, NORTH AMERICA, 2023-04
30, APPAREL, SHIRTS, 340.0, 64.6, 17, 2023, 7, 44.2, EUROPE, 2023-07
31, FISHING GEAR, WADERS, 374.0, 63.580000000000005, 2, 2024, 2, 44.879999999999995, ASIA-PACIFIC, 2024-02
